Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
16.57,49.13,Flood,Yemen,Asia,2007,36.0,618.0,
54.18,-125.03,Flood,Canada,Americas,2007,,500.0,
19.55,-71.05,Flood,Haiti,Americas,2007,2.0,12500.0,
39.4,43.8,Flood,Türkiye,Asia,2007,13.0,750.0,
42.52,24.5,Flood,Bulgaria,Europe,2007,2.0,1000.0,
-0.19,116.92,Flood,Indonesia,Asia,2007,4.0,60000.0,
-3.59,39.76,Flood,Kenya,Africa,2007,2.0,651.0,
62.34,130.46,Flood,Russian Federation,Europe,2007,,14000.0,25752.0
16.91,96.13,Flood,Myanmar,Asia,2007,5.0,3000.0,
4.5,-75.21,Flood,Colombia,Americas,2007,24.0,2035.0,
33.75,52.2,Flood,Iran (Islamic Republic of),Asia,2007,12.0,,22000.0
32.84,-97.17,Flood,United States of America,Americas,2007,8.0,5000.0,
12.91,33.77,Flood,Sudan,Africa,2007,150.0,565335.0,300000.0
-16.81,35.24,Flood,Malawi,Africa,2007,,180246.0,
8.33,34.5,Flood,Ethiopia,Africa,2007,17.0,239586.0,
27.78,84.08,Flood,Nepal,Asia,2007,214.0,640706.0,2400.0
-3.28,120.2,Flood,Indonesia,Asia,2007,15.0,2000.0,
36.68,119.23,Flood,China,Asia,2007,83.0,112742.0,329000.0
18.52,95.32,Flood,Myanmar,Asia,2007,,101920.0,
22.63,88.49,Flood,India,Asia,2007,1103.0,18700000.0,
14.64,-61.02,Storm,Dominican Republic,Americas,2007,1.0,1600.0,40000.0
14.64,-61.02,Storm,Haiti,Americas,2007,9.0,3966.0,
31.24,76.53,Flood,India,Asia,2007,76.0,15000.0,
11.54,19.05,Flood,Chad,Africa,2007,12.0,170000.0,
27.72,104.07,Flood,China,Asia,2007,17.0,213000.0,5500.0
0.88,34.28,Flood,Kenya,Africa,2007,13.0,40000.0,
36.37,118.72,Flood,China,Asia,2007,26.0,2430000.0,
14.62,-83.64,Storm,Mexico,Americas,2007,,30000.0,
32.78,108.87,Flood,China,Asia,2007,11.0,17500.0,26000.0
34.78,126.59,Storm,Republic of Korea,Asia,2007,20.0,602.0,70000.0
10.98,-85.44,Flood,Nicaragua,Americas,2007,10.0,24000.0,
41.74,25.62,Flood,Greece,Europe,2007,2.0,600.0,
10.98,-85.44,Flood,Panama,Americas,2007,2.0,129.0,
18.53,-70.06,Storm,Haiti,Americas,2007,90.0,108763.0,
12.73,79.7,Flood,India,Asia,2007,29.0,50000.0,
41.74,26.62,Flood,Türkiye,Asia,2007,1.0,2250.0,
0.35,32.59,Flood,Uganda,Africa,2007,4.0,3000.0,
15.3,108.44,Flood,Viet Nam,Asia,2007,55.0,150000.0,350000.0
11.82,51.02,Flood,Somalia,Africa,2007,21.0,2012.0,
42.76,20.8,Flood,Serbia,Europe,2007,,12370.0,
17.08,122.01,Storm,Philippines,Asia,2007,29.0,443115.0,5000.0
-13.67,131.92,Storm,Australia,Oceania,2007,2.0,820.0,100000.0
48.91,16.35,Flood,Austria,Europe,2007,,480.0,
27.58,95.26,Flood,India,Asia,2007,96.0,11100000.0,
10.39,76.31,Flood,India,Asia,2007,44.0,35000.0,101151.0
18.93,-71.03,Storm,Puerto Rico,Americas,2007,1.0,,
-20.4,144.56,Flood,Australia,Oceania,2008,,3200.0,600000.0
-22.37,-43.13,Flood,Brazil,Americas,2008,9.0,12870.0,
