Country,year,annual_temp,baseline_temp,anomaly,anomaly_smooth
Chile,1928,9.09575,9.580866666666667,-0.4851166666666664,-0.21843333333333384
Chile,1929,9.230666666666666,9.580866666666667,-0.35020000000000095,-0.24535000000000054
Chile,1930,9.646333333333333,9.580866666666667,0.06546666666666567,-0.2083666666666673
Chile,1931,9.364083333333333,9.580866666666667,-0.21678333333333377,-0.17481666666666767
Chile,1932,9.525666666666666,9.580866666666667,-0.055200000000001026,-0.1624666666666677
Chile,1933,9.263499999999999,9.580866666666667,-0.31736666666666835,-0.19255000000000103
Chile,1934,9.292416666666666,9.580866666666667,-0.288450000000001,-0.15831666666666777
Chile,1935,9.495916666666666,9.580866666666667,-0.08495000000000097,-0.1881333333333341
Chile,1936,9.53525,9.580866666666667,-0.04561666666666753,-0.2140333333333338
Chile,1937,9.376583333333334,9.580866666666667,-0.2042833333333327,-0.16761666666666705
Chile,1938,9.134,9.580866666666667,-0.44686666666666675,-0.14153333333333365
Chile,1939,9.5245,9.580866666666667,-0.05636666666666734,-0.13401666666666684
Chile,1940,9.626333333333333,9.580866666666667,0.0454666666666661,-0.13925000000000054
Chile,1941,9.572833333333334,9.580866666666667,-0.008033333333333559,-0.018350000000000578
Chile,1942,9.350416666666666,9.580866666666667,-0.23045000000000115,0.057916666666666214
Chile,1943,9.7385,9.580866666666667,0.15763333333333307,0.13794999999999966
Chile,1944,9.905833333333334,9.580866666666667,0.3249666666666666,0.12151666666666613
Chile,1945,10.0265,9.580866666666667,0.4456333333333333,0.1641666666666662
Chile,1946,9.490666666666666,9.580866666666667,-0.09020000000000117,0.0941833333333328
Chile,1947,9.563666666666666,9.580866666666667,-0.01720000000000077,-0.013150000000000616
Chile,1948,9.388583333333333,9.580866666666667,-0.19228333333333403,-0.16005000000000075
Chile,1949,9.369166666666667,9.580866666666667,-0.21170000000000044,-0.14321666666666744
Chile,1950,9.292,9.580866666666667,-0.28886666666666727,-0.08995000000000068
Chile,1951,9.574833333333332,9.580866666666667,-0.006033333333334667,-0.025333333333333742
Chile,1952,9.83,9.580866666666667,0.24913333333333298,-0.04911666666666718
Chile,1953,9.711666666666668,9.580866666666667,0.1308000000000007,-0.10191666666666706
Chile,1954,9.25025,9.580866666666667,-0.33061666666666767,-0.18208333333333365
Chile,1955,9.028,9.580866666666667,-0.5528666666666666,-0.22086666666666693
Chile,1956,9.174,9.580866666666667,-0.4068666666666676,-0.23106666666666734
Chile,1957,9.636083333333334,9.580866666666667,0.05521666666666647,-0.2098000000000006
Chile,1958,9.660666666666666,9.580866666666667,0.07979999999999876,-0.06456666666666741
Chile,1959,9.356583333333333,9.580866666666667,-0.22428333333333406,-0.0003000000000007219
Chile,1960,9.754166666666666,9.580866666666667,0.17329999999999934,0.039299999999999356
Chile,1961,9.495333333333333,9.580866666666667,-0.08553333333333413,0.0329666666666661
Chile,1962,9.834083333333334,9.580866666666667,0.25321666666666687,0.048816666666666106
Chile,1963,9.629,9.580866666666667,0.04813333333333247,0.039299999999999356
Chile,1964,9.435833333333333,9.580866666666667,-0.145033333333334,0.039816666666666126
Chile,1965,9.706583333333333,9.580866666666667,0.1257166666666656,-0.013283333333333758
Chile,1966,9.497916666666667,9.580866666666667,-0.0829500000000003,0.036299999999999596
Chile,1967,9.568583333333335,9.580866666666667,-0.012283333333332536,0.12179999999999999
Chile,1968,9.876916666666666,9.580866666666667,0.29604999999999926,0.11123333333333356
Chile,1969,9.863333333333335,9.580866666666667,0.282466666666668,0.04368333333333361
Chile,1970,9.65375,9.580866666666667,0.07288333333333341,0.047183333333333265
Chile,1971,9.160166666666667,9.580866666666667,-0.4207000000000001,-0.04553333333333356
Chile,1972,9.586083333333333,9.580866666666667,0.005216666666665759,-0.15990000000000038
Chile,1973,9.413333333333332,9.580866666666667,-0.16753333333333487,-0.20698333333333388
Chile,1974,9.291500000000001,9.580866666666667,-0.2893666666666661,-0.16996666666666727
Chile,1975,9.418333333333333,9.580866666666667,-0.16253333333333408,-0.08425000000000046
Chile,1976,9.34525,9.580866666666667,-0.23561666666666703,0.024699999999999632
Chile,1977,10.014666666666667,9.580866666666667,0.43379999999999974,0.12584999999999943
Chile,1978,9.958083333333333,9.580866666666667,0.37721666666666565,0.22293333333333293
Chile,1979,9.79725,9.580866666666667,0.21638333333333293,0.34489999999999943
Chile,1980,9.90375,9.580866666666667,0.3228833333333334,0.35203333333333264
Chile,1981,9.955083333333333,9.580866666666667,0.37421666666666553,0.4224499999999992
Chile,1982,10.050333333333333,9.580866666666667,0.4694666666666656,0.35149999999999937
Chile,1983,10.310166666666666,9.580866666666667,0.7292999999999985,0.3787333333333326
Chile,1984,9.4425,9.580866666666667,-0.1383666666666663,0.3552166666666661
Chile,1985,10.039916666666667,9.580866666666667,0.4590499999999995,0.39946666666666636
Chile,1986,9.8375,9.580866666666667,0.25663333333333327,0.2824833333333334
Chile,1987,10.271583333333334,9.580866666666667,0.6907166666666669,0.3988833333333332
Chile,1988,9.72525,9.580866666666667,0.14438333333333375,0.35715
Chile,1989,10.0245,9.580866666666667,0.44363333333333266,0.33473333333333316
Chile,1990,9.83125,9.580866666666667,0.2503833333333336,0.22796666666666637
Chile,1991,9.725416666666666,9.580866666666667,0.14454999999999885,0.27183333333333265
Chile,1992,9.73775,9.580866666666667,0.15688333333333304,0.2777999999999995
Chile,1993,9.944583333333332,9.580866666666667,0.36371666666666513,0.2685333333333325
Chile,1994,10.054333333333334,9.580866666666667,0.4734666666666669,0.2750499999999995
Chile,1995,9.784916666666666,9.580866666666667,0.20404999999999873,0.3948999999999995
Chile,1996,9.758000000000001,9.580866666666667,0.1771333333333338,0.46446666666666625
Chile,1997,10.337,9.580866666666667,0.7561333333333327,0.4195166666666662
Chile,1998,10.292416666666666,9.580866666666667,0.711549999999999,0.3753499999999999
Chile,1999,9.829583333333334,9.580866666666667,0.2487166666666667,0.38768333333333305
Chile,2000,9.564083333333334,9.580866666666667,-0.016783333333332706,0.26876666666666615
