Country,GDP_2010
Lebanon,0.28400255247107
Liberia,0.54366791797547
Libya,0.77319937977245
Saint Lucia,0.081099491542541
Sri Lanka,0.12932512501991
Lesotho,0.53032579075305
Lithuania,0.29088790661177
Luxembourg,0.18317189481753
Latvia,0.26147441825973
Macao,0.025633941918849
Morocco,0.34057351201304
Moldova,0.41655103072489
Madagascar,0.79989411064223
Maldives,0.19445939496305
Mexico,0.29203151844884
North Macedonia,0.36040000264183
Mali,0.61676222248385
Malta,0.18978238609098
Myanmar/Burma,0.58497685798561
Mongolia,1.63060681359
Mozambique,0.50831348905129
Mauritania,0.60484000373645
Martinique,
Mauritius,0.21175797886294
Malawi,0.5138790379067
Malaysia,0.3754862858581
Namibia,0.42246319549121
New Caledonia,0.42529060206246
Niger,1.054264190017
Nigeria,0.346557665586
Nicaragua,0.43418593489717
Netherlands,0.21510285911943
Norway,0.15571960506675
Nepal,0.40844628715492
New Zealand,0.47223700642432
Oman,0.57508336645819
Pakistan,0.43813576985531
Panama,0.17991935308287
Peru,0.21611462004293
Philippines,0.25920389524894
Palau,7.2506878647406
Papua New Guinea,0.27558220549299
Poland,0.40155595257244
Puerto Rico,0.1063071271379
North Korea,0.81835140921225
Portugal,0.17914234222301
Paraguay,0.4987260800364
French Polynesia,0.1780189629667
Qatar,0.44929425670027
Réunion,
Romania,0.23110727059531
Russia,0.46392951067454
Rwanda,0.31734960356906
Saudi Arabia,0.45817013267133
Serbia and Montenegro,0.46682243787325
Sudan and South Sudan,0.65564373747424
Senegal,0.45345075182846
Singapore,0.11979010938987
"Saint Helena, Ascension and Tristan da Cunha",
Solomon Islands,0.40055021211401
Sierra Leone,0.35620708081204
El Salvador,0.22403475862808
Somalia,2.4798398780653
Saint Pierre and Miquelon,
São Tomé and Príncipe,0.22356597498052
Suriname,0.22983926458493
Slovakia,0.30617035871491
Slovenia,0.28217080483837
Sweden,0.13285997225205
Eswatini,0.30547177437328
Seychelles,0.50840893004959
Syria,0.41367249809063
Turks and Caicos Islands,0.16609437979521
Chad,1.3936175951662
Togo,0.54486133291672
Thailand,0.32592252639628
Tajikistan,0.63426416387029
Turkmenistan,1.8059608567263
Timor-Leste,0.47383856283959
Tonga,0.40342451642776
Trinidad and Tobago,1.036742591683
Tunisia,0.29928414406024
Türkiye,0.27592471342289
Taiwan,0.29020251665143
Tanzania,0.45865774883492
Uganda,0.49284925075628
Ukraine,0.53033959253759
Uruguay,0.46585555994055
United States,0.36513965933807
Uzbekistan,1.1768598241541
Saint Vincent and the Grenadines,0.10459445908282
Venezuela,0.44583733252831
British Virgin Islands,0.09252501298041
Viet Nam,0.46012965034347
Vanuatu,0.83795800591882
Samoa,0.37784402451563
Yemen,0.46064576617751
South Africa,0.78332076167969
Zambia,0.43712187343697
Zimbabwe,0.7590588449619
,
EU27,0.21158158193775
,
GLOBAL TOTAL,0.40534147668561
