Country,CAPITA_2010
Somalia,2.5098028638673
Saint Pierre and Miquelon,6.7690201411597
São Tomé and Príncipe,1.1353365275847
Suriname,5.470985600675
Slovakia,9.0856260313076
Slovenia,10.758964160793
Sweden,7.367978105162
Eswatini,2.3179887443499
Seychelles,10.839502970775
Syria,4.224144204336
Turks and Caicos Islands,2.7093073928297
Chad,3.9226875019369
Togo,1.1219721235529
Thailand,5.5640081298351
Tajikistan,1.5556232720498
Turkmenistan,17.466682796298
Timor-Leste,1.8755848696565
Tonga,2.2836786315578
Trinidad and Tobago,36.197890743455
Tunisia,3.7727413250785
Türkiye,5.4592582282959
Taiwan,13.580301185872
Tanzania,1.1480683320982
Uganda,1.0565323765615
Ukraine,9.0451464859865
Uruguay,11.39864482267
United States,21.88363304961
Uzbekistan,6.7273321767189
Saint Vincent and the Grenadines,1.3862263732156
Venezuela,8.9901860229049
British Virgin Islands,3.1038235531896
Viet Nam,3.3088294605627
Vanuatu,2.8386824717553
Samoa,2.5174429291261
Yemen,2.2459732169879
South Africa,11.272851254211
Zambia,1.439779005997
Zimbabwe,1.8450255942989
,
EU27,9.6136236529718
,
GLOBAL TOTAL,6.5309286835462
